State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Hawaii,15,19,677,24.849335302806498,20.72082717872969
Hawaii,15,20,697,24.136298421807748,20.12625538020086
Hawaii,15,21,694,24.240634005763688,20.213256484149856
Hawaii,15,22,761,22.106438896189225,18.433639947437584
Hawaii,15,23,869,19.3590333716916,16.142692750287686
Hawaii,15,24,880,19.117045454545455,15.940909090909091
Hawaii,15,25,850,19.791764705882354,16.503529411764706
Hawaii,15,26,876,19.20433789954338,16.013698630136986
Hawaii,15,27,830,20.26867469879518,16.90120481927711
Hawaii,15,28,771,21.819714656290532,18.19455252918288
Hawaii,15,29,824,20.41626213592233,17.024271844660195
Hawaii,15,30,654,25.723241590214066,21.44954128440367
Hawaii,15,31,789,21.32192648922687,17.779467680608366
Hawaii,15,32,783,21.485312899106003,17.915708812260537
Hawaii,15,33,718,23.430362116991642,19.537604456824514
Hawaii,15,34,676,24.88609467455621,20.75147928994083
Hawaii,15,35,748,22.490641711229948,18.754010695187166
Hawaii,15,36,812,20.717980295566502,17.275862068965516
Hawaii,15,37,794,21.18765743073048,17.66750629722922
Hawaii,15,38,648,25.96141975308642,21.64814814814815
Hawaii,15,39,562,29.934163701067614,24.96085409252669
Idaho,16,1,1496,15.322860962566844,12.683823529411764
Idaho,16,2,702,32.65384615384615,27.02991452991453
Idaho,16,3,2320,9.880603448275862,8.178879310344827
Idaho,16,4,1696,13.515919811320755,11.18808962264151
Idaho,16,5,1655,13.850755287009063,11.465256797583082
Idaho,16,6,1394,16.444045911047347,13.611908177905308
Idaho,16,7,1189,19.279226240538268,15.95878889823381
Idaho,16,8,1877,12.21257325519446,10.1092168353756
Idaho,16,9,1544,14.846502590673575,12.289507772020725
Idaho,16,10,1381,16.598841419261404,13.740043446777698
Idaho,16,11,1446,15.852697095435685,13.122406639004149
Idaho,16,12,1368,16.75657894736842,13.87061403508772
Idaho,16,13,1946,11.779547790339157,9.75077081192189
Idaho,16,14,2127,10.777150916784203,8.921015514809591
Idaho,16,15,1906,12.026757607555089,9.955403987408184
Idaho,16,16,1938,11.828173374613003,9.791021671826625
Idaho,16,17,1794,12.777591973244148,10.576923076923077
Idaho,16,18,1189,19.279226240538268,15.95878889823381
Idaho,16,19,1431,16.0188679245283,13.259958071278826
Idaho,16,20,1503,15.251497005988025,12.624750499001996
Idaho,16,21,1327,17.27430293896006,14.2991710625471
Idaho,16,22,1180,19.42627118644068,16.08050847457627
Idaho,16,23,1395,16.43225806451613,13.602150537634408
Idaho,16,24,1270,18.0496062992126,14.940944881889763
Idaho,16,25,1363,16.81804842259721,13.921496698459281
Idaho,16,26,1370,16.732116788321168,13.85036496350365
Idaho,16,27,1345,17.043122676579927,14.107806691449815
