Region,Week,Anxiety Percentage,Depression Percentage,Covid Cases Percentage,Covid Deaths Percentage
South Dakota,37,22.98848368522073,18.49328214971209,5.12385886548571,5.15994136343395
South Dakota,38,25.16176470588235,20.241596638655466,5.35766356323404,5.24250654118798
South Dakota,39,23.301556420233464,18.745136186770427,5.55856635009974,5.36138510730606
Tennessee,1,18.86522462562396,15.920965058236272,0.0589713694381893,0.0785980968871505
Tennessee,2,31.020519835841313,26.17920656634747,0.0377635771927848,0.0455448452851191
Tennessee,3,10.46423627134287,8.83110290724504,0.044041651933161,0.0542333052478607
Tennessee,4,12.88409090909091,10.873295454545454,0.0506118776362687,0.060540941662093103
Tennessee,5,12.061702127659574,10.179255319148936,0.0580116260439773,0.0670031770080469
Tennessee,6,14.470963624760689,12.212507977026164,0.0674040046794044,0.0766810701338054
Tennessee,7,18.787075393537695,15.855012427506214,0.0762475961228988,0.0865135621912853
Tennessee,8,12.055289739500266,10.17384370015949,0.0872740752951671,0.0960677761716667
Tennessee,9,12.384489350081925,10.451665756417258,0.101664307086092,0.107075220110229
Tennessee,10,13.676718938480096,11.542219541616406,0.125911145815019,0.117804385971693
Tennessee,11,13.20675596971462,11.145602795573677,0.154264587005611,0.135026706965455
Tennessee,12,14.75341574495771,12.450878334417697,0.190497225506572,0.153176621549545
Tennessee,13,12.270562770562773,10.35551948051948,0.787891403808841,0.643255235106325
Tennessee,14,12.445664105378706,10.503293084522502,0.897905478424577,0.767027139842464
Tennessee,15,14.288594833018273,12.0586011342155,1.00494392572381,0.902795921680181
Tennessee,16,14.526585522101216,12.259449071108264,1.11417667620188,1.04644924903569
Tennessee,17,15.27003367003367,12.886868686868686,1.2665374198136,1.18543368865321
Tennessee,18,23.819327731092436,20.10189075630252,1.45057180940655,1.36903537996552
Tennessee,19,19.531438415159347,16.483204134366925,1.72251277478706,1.59861479357178
Tennessee,20,20.22836752899197,17.071364852809992,2.03305740992613,1.86610186523611
Tennessee,21,20.996296296296297,17.719444444444445,2.5381115898718,2.24725007150201
Tennessee,22,20.210338680926917,17.05614973262032,3.5597026241435,3.17756460302859
Tennessee,23,18.376012965964343,15.508103727714747,3.84398918737026,3.64516453191308
Tennessee,24,18.213654618473896,15.371084337349398,4.02977098641179,4.22763146706656
Tennessee,25,19.233248515691265,16.231552162849873,4.14752135381488,4.47366020700797
Tennessee,26,19.41438356164383,16.38441780821918,4.23996113166092,4.61400511722464
Tennessee,27,19.769834350479513,16.684394071490846,4.33249857502417,4.68382199479002
Tennessee,28,20.65209471766849,17.42896174863388,4.51443083062768,4.82215711889431
Tennessee,29,18.039777247414477,15.22434367541766,4.59072282016749,4.87370040273022
Tennessee,30,23.670146137787057,19.97599164926931,4.6381814968196,4.92122411434137
Tennessee,31,21.972868217054263,18.54360465116279,4.66410809788562,4.96565584731809
Tennessee,32,20.880294659300183,17.62154696132597,4.68471298524991,4.98643394374145
Tennessee,33,21.093953488372097,17.801860465116278,4.69471883862763,5.00950010435428
Tennessee,34,20.918819188191883,17.654059040590408,4.80093664190564,5.06855689627185
Tennessee,35,19.926186291739896,16.81634446397188,5.01531794850579,5.13667318558829
Tennessee,36,18.802653399668326,15.8681592039801,5.39729455101883,5.27717269473668
Tennessee,37,21.453169347209084,18.105014191106907,5.91376418102781,5.48034661080492
Tennessee,38,21.658070678127984,18.277936962750715,6.40481118095135,5.80553000378767
Tennessee,39,23.89462592202318,20.165437302423605,6.65918503706776,6.12697210262277
Texas,1,20.744883251657537,17.508215624099165,0.0445350226142357,0.0720699618511954
Texas,2,36.01801801801802,30.3983983983984,0.0287180236624889,0.0469683054989409
Texas,3,11.115848007414272,9.38152610441767,0.0351287049422157,0.0571946417425905
