state,EST_ST,week,count,anxiety_percentage,depression_percentage,total_cases,total_deaths,total_cases_us,total_deaths_us,total_cases_state_all_weeks,total_deaths_state_all_weeks,percentage_cases_spatial,percentage_deaths_spatial,percentage_cases_state,percentage_deaths_state
Georgia,13,15,2246,13.924755120213714,11.60507569011576,3788869,85230,89958441,2613757,309831293,5574721,4.21179931297387,3.26082340477711,1.22288131818886,1.52886574951464
Georgia,13,16,2071,15.101400289715114,12.585707387735392,4187207,91890,98283032,2744562,309831293,5574721,4.26035594831873,3.34807521200104,1.35144741496463,1.64833361167312
Georgia,13,17,1786,17.511198208286675,14.594064949608065,4580703,97411,108710383,2877454,309831293,5574721,4.21367570749889,3.38531910501436,1.4784507257632,1.74736995806606
Georgia,13,18,1176,26.59438775510204,22.164115646258505,4934575,104789,123742353,3032206,309831293,5574721,3.98778177428063,3.4558667847765,1.59266514115474,1.87971738854734
Georgia,13,19,1433,21.824842986741103,18.18911374738311,5410229,114363,149140694,3242863,309831293,5574721,3.627600794187,3.52660596516103,1.74618546358389,2.05145692492952
Georgia,13,20,1374,22.762008733624455,18.970160116448326,6014155,120788,180323778,3537929,309831293,5574721,3.33519797927038,3.41408773324733,1.94110638140093,2.16670932948931
Georgia,13,21,1341,23.322147651006713,19.43698732289336,6970795,128348,218484424,3967089,309831293,5574721,3.19052263423593,3.23531939918666,2.24986796282066,2.3023214973448898
Georgia,13,22,1510,20.71192052980133,17.26158940397351,9722733,147817,297414902,4959558,309831293,5574721,3.26908064613386,2.98044704790225,3.13807327396074,2.65155870580788
Georgia,13,23,1731,18.06759098786829,15.057770075101098,11107329,170695,331246599,5536919,309831293,5574721,3.35319035230306,3.08285167256375,3.58496034808208,3.06194695662796
Georgia,13,24,1754,17.83067274800456,14.860319270239453,12000616,193173,353902473,6107034,309831293,5574721,3.39093872339231,3.16312304794766,3.87327434998633,3.46515996047156
Georgia,13,25,1734,18.036332179930795,15.031718569780852,12569010,213201,367750323,6540703,309831293,5574721,3.41781073024374,3.25960374595819,4.0567270911528,3.82442457658419
Georgia,13,26,1673,18.693962940824864,15.579796772265391,13012583,226756,379269903,6856950,309831293,5574721,3.43095586996788,3.30695134133981,4.19989306890315,4.06757575849984
Georgia,13,27,1719,18.19371727748691,15.162885398487491,13302252,235132,389709216,7073156,309831293,5574721,3.41337886143293,3.32428692368725,4.29338556192902,4.21782543018745
Georgia,13,28,1578,19.819391634980988,16.517743979721168,13815348,249683,413555826,7388536,309831293,5574721,3.34062468267585,3.37932981581196,4.45899052553094,4.47884297707455
Georgia,13,29,1703,18.364650616559015,15.30534351145038,14042116,255152,422815728,7515404,309831293,5574721,3.32109594560778,3.39505367908365,4.53218132488638,4.57694654136055
Georgia,13,30,1395,22.419354838709676,18.684587813620073,14198836,258792,429112805,7628850,309831293,5574721,3.30888191509456,3.39228061896616,4.58276369133572,4.64224128884656
Georgia,13,31,1652,18.931598062953995,15.777845036319611,14294203,262781,432772697,7733730,309831293,5574721,3.30293548994381,3.39785588584034,4.61354399085828,4.71379643931956
Georgia,13,32,1606,19.47384806973848,16.229763387297634,14363659,266795,434955807,7800559,309831293,5574721,3.30232606826652,3.42020360335714,4.63596135203812,4.7858000427286
Georgia,13,33,1541,20.295262816353016,16.91434133679429,14424124,269277,437380590,7853097,309831293,5574721,3.29784273234439,3.4289274664505,4.65547681137554,4.83032245021769
Georgia,13,34,1542,20.282101167315176,16.90337224383917,14851426,272289,451183101,7948347,309831293,5574721,3.29166273450477,3.42573116146036,4.79339122146064,4.88435205995062
Georgia,13,35,1631,19.175352544451258,15.980993255671368,15653964,275157,470282286,8038989,309831293,5574721,3.32863143392988,3.42278114822647,5.05241541240962,4.93579858077202
Georgia,13,36,1655,18.897280966767372,15.749244712990937,16996142,281212,496698578,8212460,309831293,5574721,3.42182215790439,3.42421150300884,5.48561181003754,5.04441388187857
Georgia,13,37,1558,20.073812580231067,16.729781771501926,18509759,293961,525106961,8480704,309831293,5574721,3.52495022437914,3.46623346363698,5.97414122401122,5.27310694113661
Georgia,13,38,1453,21.524432209222297,17.938747419132827,19594053,313944,551080385,8831887,309831293,5574721,3.55557075398356,3.55466504496717,6.32410393742894,5.63156434196438
Georgia,13,39,1321,23.675246025738076,19.73126419379258,20233296,334578,570984508,9178044,309831293,5574721,3.54358055542901,3.64541725884077,6.53042363929327,6.00169945724638
Hawaii,15,1,857,19.630105017502917,16.36872812135356,7856,200,13644993,786250,11122628,141050,0.0575742325408302,0.0254372019077901,0.0706307897737837,0.141793690180787
Hawaii,15,2,605,27.806611570247934,23.186776859504132,3726,102,7940175,474933,11122628,141050,0.0469259178796437,0.0214767135574913,0.0334992773290629,0.0723147819922013
Hawaii,15,3,1980,8.496464646464647,7.084848484848485,3775,102,8896630,534045,11122628,141050,0.042431797208606,0.0190995140858916,0.0339398206970511,0.0723147819922013
Hawaii,15,4,1581,10.640733712839976,8.872865275142315,3801,102,9837494,582599,11122628,141050,0.0386378888769843,0.0175077540469517,0.0341735784025142,0.0723147819922013
Hawaii,15,5,1494,11.26037483266399,9.389558232931726,3844,102,10727153,623896,11122628,141050,0.0358342982522949,0.0163488786592637,0.0345601776846263,0.0723147819922013
Hawaii,15,6,1221,13.778050778050778,11.48894348894349,3955,102,11646234,661268,11122628,141050,0.0339594756553921,0.0154249109287006,0.0355581432733343,0.0723147819922013
Hawaii,15,7,1180,14.25677966101695,11.88813559322034,4253,102,12570310,693159,11122628,141050,0.0338336922478443,0.0147152384950639,0.038237366205181,0.0723147819922013
Hawaii,15,8,1542,10.909857328145266,9.09727626459144,4731,102,13688447,718836,11122628,141050,0.0345619923136642,0.0141896065305577,0.0425349117133109,0.0723147819922013
Hawaii,15,9,1356,12.406342182890857,10.345132743362832,5210,106,15271347,754416,11122628,141050,0.0341161784877261,0.0140506033806282,0.0468414479024202,0.0751506557958171
Hawaii,15,10,1325,12.696603773584906,10.587169811320754,5937,113,17321941,779487,11122628,141050,0.0342744499591587,0.0144967138643749,0.0533776729744086,0.0801134349521446
Hawaii,15,11,1342,12.535767511177347,10.453055141579732,7098,118,19735326,808303,11122628,141050,0.0359659627613955,0.0145984859638032,0.0638158535914354,0.0836582772066643
Hawaii,15,12,1357,12.39719970523213,10.337509211495949,8060,135,22513159,840740,11122628,141050,0.0358012840401474,0.0160572828698527,0.0724648886935713,0.0957107408720312
Hawaii,15,13,1425,11.80561403508772,9.84421052631579,91534,672,75392468,2322210,11122628,141050,0.121410006102997,0.0289379513480693,0.82295299276394,0.476426799007444
Hawaii,15,14,1435,11.72334494773519,9.77560975609756,130733,1141,82613109,2473036,11122628,141050,0.158247282522681,0.0461376219351437,1.17537869647353,0.80893300248139
Hawaii,15,15,1269,13.256895193065406,11.05437352245863,152393,1565,89958441,2613757,11122628,141050,0.169403780574632,0.0598754972248759,1.37011684648628,1.10953562566466
Hawaii,15,16,1109,15.169522091974752,12.649233543733091,170704,2029,98283032,2744562,11122628,141050,0.173686135364648,0.0739280074561988,1.53474520589918,1.43849698688408
Hawaii,15,17,1056,15.930871212121213,13.284090909090908,186428,2542,108710383,2877454,11122628,141050,0.171490518987501,0.0883419856581547,1.6761146736185,1.8021978021978
Hawaii,15,18,629,26.745627980922094,22.302066772655007,201679,2826,123742353,3032206,11122628,141050,0.162983000654594,0.0931994725951997,1.81323154923459,2.00354484225452
Hawaii,15,19,677,24.849335302806494,20.72082717872969,218582,2904,149140694,3242863,11122628,141050,0.146560937955673,0.0895504990497594,1.96520102982856,2.05884438142503
Hawaii,15,20,697,24.136298421807748,20.12625538020086,235356,3189,180323778,3537929,11122628,141050,0.130518560896611,0.0901374787340277,2.1160107125762,2.26090038993265
Hawaii,15,21,694,24.240634005763688,20.213256484149856,254438,3554,218484424,3967089,11122628,141050,0.116455898934013,0.0895871002641988,2.28757088702418,2.51967387451258
Hawaii,15,22,761,22.106438896189225,18.433639947437584,305727,4012,297414902,4959558,11122628,141050,0.102794781950771,0.0808943055006111,2.74869392377413,2.84438142502659
Hawaii,15,23,869,19.3590333716916,16.142692750287686,328350,4811,331246599,5536919,11122628,141050,0.0991255460407006,0.0868894777041167,2.95209009956999,3.41084721729883
Hawaii,15,24,880,19.117045454545455,15.940909090909091,344003,5426,353902473,6107034,11122628,141050,0.0972027680631664,0.0888483673089097,3.09282122893978,3.84686281460475
Hawaii,15,25,850,19.79176470588235,16.503529411764706,353261,5593,367750323,6540703,11122628,141050,0.0960600108024922,0.0855106859308548,3.17605695344661,3.96526054590571
Hawaii,15,26,876,19.20433789954338,16.013698630136986,363102,5762,379269903,6856950,11122628,141050,0.0957370983375921,0.0840315300534494,3.26453424496441,4.08507621410847
Hawaii,15,27,830,20.26867469879518,16.90120481927711,377096,5890,389709216,7073156,11122628,141050,0.0967634288638429,0.0832725872298024,3.39034983458945,4.17582417582418
Hawaii,15,28,771,21.819714656290532,18.19455252918288,413780,6138,413555826,7388536,11122628,141050,0.100054206466432,0.0830746442867707,3.72016397563597,4.35164835164835
Hawaii,15,29,824,20.41626213592233,17.024271844660195,430640,6263,422815728,7515404,11122628,141050,0.101850515835116,0.0833355066474138,3.87174685694784,4.44026940801134
Hawaii,15,30,654,25.723241590214062,21.44954128440367,445697,6360,429112805,7628850,11122628,141050,0.103864763485676,0.0833677421891897,4.00711954045393,4.50903934774903
Hawaii,15,31,789,21.32192648922687,17.779467680608366,455939,6466,432772697,7733730,11122628,141050,0.105352995501008,0.0836077804629849,4.09920209504444,4.58419000354484
Hawaii,15,32,783,21.485312899106003,17.915708812260537,465212,6562,434955807,7800559,11122628,141050,0.106956153363875,0.0841221763722318,4.18257267976597,4.65225097483162
Hawaii,15,33,718,23.43036211699164,19.53760445682451,472801,6672,437380590,7853097,11122628,141050,0.108098304042253,0.0849601119150827,4.25080295771827,4.73023750443105
Hawaii,15,34,676,24.88609467455621,20.75147928994083,513421,6867,451183101,7948347,11122628,141050,0.113794377241093,0.0863953221971814,4.61600441909951,4.86848635235732
Hawaii,15,35,748,22.490641711229948,18.75401069518717,594672,7037,470282286,8038989,11122628,141050,0.126450010494335,0.0875358829325429,5.34650623935279,4.98901098901099
Hawaii,15,36,812,20.717980295566505,17.275862068965516,720758,7384,496698578,8212460,11122628,141050,0.145109736956002,0.0899121578674356,6.48010524131527,5.23502304147465
Hawaii,15,37,794,21.18765743073048,17.66750629722922,861891,8145,525106961,8480704,11122628,141050,0.164136273942862,0.0960415550407136,7.74898701997406,5.77454803261255
Hawaii,15,38,648,25.96141975308642,21.64814814814815,958868,9321,551080385,8831887,11122628,141050,0.173997846067412,0.105538035076762,8.62087628930861,6.60829493087558
Hawaii,15,39,562,29.934163701067614,24.96085409252669,1013317,10533,570984508,9178044,11122628,141050,0.177468387636184,0.114763014864605,9.1104098779533,7.46756469337115
Idaho,16,1,1496,15.322860962566844,12.683823529411764,25747,782,13644993,786250,53571270,578161,0.188691925309159,0.0994594594594595,0.0480612089278451,0.13525644240964
Idaho,16,2,702,32.65384615384615,27.02991452991453,13400,406,7940175,474933,53571270,578161,0.168762023507039,0.085485742199426007,0.0250134073730192,0.0702226542433682
Idaho,16,3,2320,9.880603448275862,8.178879310344827,14512,442,8896630,534045,53571270,578161,0.163117944659944,0.0827645610388638,0.0270891468505413,0.0764492935358836
Idaho,16,4,1696,13.515919811320757,11.18808962264151,15768,474,9837494,582599,53571270,578161,0.160284722918255,0.0813595629240696,0.0294336871237139,0.0819840840181195
Idaho,16,5,1655,13.850755287009065,11.465256797583082,17112,494,10727153,623896,53571270,578161,0.159520424477958,0.0791798633105518,0.0319424945497839,0.085443328069517
Idaho,16,6,1394,16.444045911047347,13.611908177905308,18880,500,11646234,661268,53571270,578161,0.162112490612845,0.0756123084740226,0.0352427709852688,0.0864811012849362
Idaho,16,7,1189,19.279226240538268,15.95878889823381,20484,526,12570310,693159,53571270,578161,0.162955408418726,0.0758844651804276,0.038236913181263,0.0909781185517529
Idaho,16,8,1877,12.21257325519446,10.1092168353756,24325,540,13688447,718836,53571270,578161,0.177704600090865,0.0751214463382468,0.0454068010707978,0.0933995893877311
Idaho,16,9,1544,14.846502590673577,12.289507772020723,32774,548,15271347,754416,53571270,578161,0.214611062141408,0.0726389684206061,0.061178314421144,0.0947832870082901
Idaho,16,10,1381,16.598841419261404,13.740043446777698,45756,563,17321941,779487,53571270,578161,0.26415053601672,0.0722269903154254,0.0854114528179003,0.0973777200468382
Idaho,16,11,1446,15.852697095435683,13.122406639004147,64719,611,19735326,808303,53571270,578161,0.327934790638878,0.0755904654566419,0.120809157595106,0.105679905770192
Idaho,16,12,1368,16.75657894736842,13.87061403508772,87812,723,22513159,840740,53571270,578161,0.390047438478092,0.0859956704807669,0.16391621852534,0.125051672458018
Idaho,16,13,1946,11.779547790339157,9.75077081192189,398381,4274,75392468,2322210,53571270,578161,0.528409548815937,0.18404881556792901,0.743646734527668,0.739240453783635
Idaho,16,14,2127,10.777150916784205,8.921015514809591,448952,5165,82613109,2473036,53571270,578161,0.543439177431272,0.20885260060913,0.838046213950127,0.893349776273391
Idaho,16,15,1906,12.026757607555089,9.955403987408184,504243,5837,89958441,2613757,53571270,578161,0.56052883353103,0.223318388052141,0.941256386118903,1.00958037640035
Idaho,16,16,1938,11.828173374613003,9.791021671826623,592477,6402,98283032,2744562,53571270,578161,0.602827352741824,0.233261263545877,1.10596034030927,1.10730402085232
Idaho,16,17,1794,12.777591973244148,10.576923076923077,718846,7118,108710383,2877454,53571270,578161,0.661248705194977,0.24737146102075,1.34184983854219,1.23114495789235
Idaho,16,18,1189,19.279226240538268,15.95878889823381,884134,8499,123742353,3032206,53571270,578161,0.714495868686124,0.280290982868578,1.65038835181619,1.47000575964135
Idaho,16,19,1431,16.0188679245283,13.259958071278826,1113169,10423,149140694,3242863,53571270,578161,0.746388507485422,0.321413516389684,2.07792161731465,1.80278503738578
Idaho,16,20,1503,15.251497005988025,12.624750499001996,1353327,12664,180323778,3537929,53571270,578161,0.750498361896566,0.357949523577211,2.52621787760492,2.19039333334486
Idaho,16,21,1327,17.27430293896006,14.2991710625471,1616271,15870,218484424,3967089,53571270,578161,0.739764863054952,0.400041440965907,3.01704813046247,2.74491015478388
Idaho,16,22,1180,19.42627118644068,16.08050847457627,1970955,20321,297414902,4959558,53571270,578161,0.662695442207533,0.409734093239761,3.67912689021559,3.51476491842238
Idaho,16,23,1395,16.43225806451613,13.602150537634408,2089570,22041,331246599,5536919,53571270,578161,0.630820061642354,0.398073368962053,3.90054221227161,3.81225990684256
Idaho,16,24,1270,18.0496062992126,14.940944881889765,2160326,23159,353902473,6107034,53571270,578161,0.610429755318494,0.379218455309075,4.03262046988992,4.00563164931568
Idaho,16,25,1363,16.81804842259721,13.92149669845928,2210757,23956,367750323,6540703,53571270,578161,0.601157051872936,0.366260324004927,4.1267586152055,4.14348252476386
Idaho,16,26,1370,16.732116788321168,13.85036496350365,2262121,24657,379269903,6856950,53571270,578161,0.596440946699638,0.359591363507099,4.22263836567623,4.26472902876534
Idaho,16,27,1345,17.043122676579927,14.107806691449817,2317880,25355,389709216,7073156,53571270,578161,0.594771666883033,0.358467987981603,4.32672214043087,4.38545664615912
