state,week,total_cases,total_deaths,total_cases_us,total_deaths_us,percentage_cases,percentage_deaths
Puerto Rico,12,70611,1065,22513159,840740,0.3136432341636285,0.12667412041772724
Puerto Rico,13,398446,5189,75392468,2322210,0.5284957643248925,0.22345093682311248
Puerto Rico,14,462935,6397,82613109,2473036,0.5603650626439928,0.25866991018327273
Puerto Rico,15,555284,8005,89958441,2613757,0.6172672556653133,0.30626412478283177
Puerto Rico,16,669884,9090,98283032,2744562,0.6815866242303148,0.331200388258673
Puerto Rico,17,764318,10054,108710383,2877454,0.7030772764364192,0.34940610692647045
Puerto Rico,18,888430,10965,123742353,3032206,0.7179675983694928,0.36161791118413456
Puerto Rico,19,1004307,12478,149140694,3242863,0.6733956863577422,0.38478344598584646
Puerto Rico,20,1127007,14650,180323778,3537929,0.6249907874046428,0.4140840587812814
Puerto Rico,21,1266037,16880,218484424,3967089,0.5794632756063196,0.42550091515466376
Puerto Rico,22,1529468,21422,297414902,4959558,0.5142539898690079,0.4319336521520668
Puerto Rico,23,1627305,23210,331246599,5536919,0.4912669307134532,0.4191861936213985
Puerto Rico,24,1688275,24577,353902473,6107034,0.47704526777918277,0.40243758263012785
Puerto Rico,25,1729128,25873,367750323,6540703,0.4701907494993553,0.3955691001410705
Puerto Rico,26,1761165,26851,379269903,6856950,0.46435664577370905,0.3915880967485544
Puerto Rico,27,1797760,27281,389709216,7073156,0.46130805384905244,0.3856976998669335
Puerto Rico,28,2041997,28855,413555826,7388536,0.4937657437329876,0.3905374488261274
Puerto Rico,29,2168173,30298,422815728,7515404,0.5127938381705612,0.4031453265852375
Puerto Rico,30,2216886,31773,429112805,7628850,0.5166207985799911,0.4164847912857115
Puerto Rico,31,2239636,32563,432772697,7733730,0.5175086172314608,0.4210516788147505
Puerto Rico,32,2249811,32939,434955807,7800559,0.5172504801160178,0.4222646094978578
Puerto Rico,33,2257241,33122,437380590,7853097,0.5160816578531754,0.4217699081012243
Puerto Rico,34,2316384,33440,451183101,7948347,0.5134022074111326,0.4207164080783086
Puerto Rico,35,2430652,34132,470282286,8038989,0.5168495757460871,0.4245807526294662
Puerto Rico,36,2584103,35918,496698578,8212460,0.520255767674052,0.4373598166688179
Puerto Rico,37,2704198,38230,525106961,8480704,0.5149804136761386,0.45078804778471215
Puerto Rico,38,2767951,40200,551080385,8831887,0.50227717685869,0.4551688670835575
Puerto Rico,39,2800889,41232,570984508,9178044,0.4905367765249421,0.44924604850445254
Rhode Island,1,107338,3412,13644993,786250,0.7866475270452686,0.4339586645468998
Rhode Island,2,66636,2501,7940175,474933,0.8392258357026136,0.5266005941890751
Rhode Island,3,75089,2973,8896630,534045,0.8440162173766921,0.5566946605623122
Rhode Island,4,83599,3582,9837494,582599,0.849799755913447,0.6148311274135383
Rhode Island,5,88979,4251,10727153,623896,0.8294745120163757,0.6813635605934322
Rhode Island,6,92981,4679,11646234,661268,0.7983782568682717,0.7075799826999039
Rhode Island,7,95960,5038,12570310,693159,0.7633861058319166,0.7268173680209015
Rhode Island,8,98272,5376,13688447,718836,0.7179192789364637,0.7478757324341019
Rhode Island,9,100200,5597,15271347,754416,0.6561307263858257,0.741898369069585
Rhode Island,10,102059,5768,17321941,779487,0.5891891676573658,0.7399738545992429
Rhode Island,11,104254,5871,19735326,808303,0.5282608455517787,0.7263365346905801
Rhode Island,12,106980,5949,22513159,840740,0.475188755163147,0.7075909317981778
Rhode Island,13,277447,13490,75392468,2322210,0.3680036048163326,0.5809121483414506
Rhode Island,14,293088,13802,82613109,2473036,0.35477178325294595,0.5580994372908442
Rhode Island,15,311137,14265,89958441,2613757,0.34586748785475285,0.5457661136823355
Rhode Island,16,332902,14604,98283032,2744562,0.3387176740741983,0.5321067623905017
Rhode Island,17,374766,15132,108710383,2877454,0.3447379998652015,0.5258815605740352
Rhode Island,18,449562,15753,123742353,3032206,0.36330487428180713,0.51952275010339
Rhode Island,19,581016,16566,149140694,3242863,0.3895757652837528,0.5108448923065821
Rhode Island,20,753081,17939,180323778,3537929,0.4176271195915161,0.507048049861939
Rhode Island,21,966474,20371,218484424,3967089,0.4423537304425875,0.5134999492070886
Rhode Island,22,1310539,25468,297414902,4959558,0.4406433541786685,0.5135135026145475
Rhode Island,23,1456050,27533,331246599,5536919,0.43956677725768895,0.49726210551391486
Rhode Island,24,1550730,29264,353902473,6107034,0.4381800406350933,0.4791851494522546
Rhode Island,25,1616333,31795,367750323,6540703,0.4395191245012176,0.4861098264207991
Rhode Island,26,1680341,33200,379269903,6856950,0.44304622821600476,0.4841802842371608
Rhode Island,27,1746133,33827,389709216,7073156,0.448060484153395,0.47824478917190577
Rhode Island,28,1887369,34495,413555826,7388536,0.4563758702797237,0.4668719215822999
Rhode Island,29,1934914,34827,422815728,7515404,0.457625833635025,0.4634082213012101
Rhode Island,30,1959922,35121,429112805,7628850,0.4567381763403681,0.4603708291551151
Rhode Island,31,1973968,35255,432772697,7733730,0.4561211956492717,0.455860238203299
Rhode Island,32,1979828,35398,434955807,7800559,0.45517911662230087,0.4537879913477995
Rhode Island,33,1983483,35473,437380590,7853097,0.45349131748164684,0.4517071417811342
Rhode Island,34,2000378,35610,451183101,7948347,0.44336279341277895,0.4480176821671223
Rhode Island,35,2035715,35669,470282286,8038989,0.4328708651382204,0.4437000722354515
Rhode Island,36,2088077,35858,496698578,8212460,0.42039117736310494,0.4366292195030478
Rhode Island,37,2140868,36164,525106961,8480704,0.40770131782732166,0.42642686267555147
Rhode Island,38,2203864,36625,551080385,8831887,0.3999169740000817,0.4146905412172959
Rhode Island,39,2255930,36992,570984508,9178044,0.3950947825015245,0.4030488413435368
South Carolina,1,77025,2869,13644993,786250,0.5644927776804283,0.36489666136724963
South Carolina,2,45412,1998,7940175,474933,0.5719269411568385,0.42069091850850543
South Carolina,3,52071,2306,8896630,534045,0.5852890364104161,0.4317988184516286
South Carolina,4,59602,2581,9837494,582599,0.6058656808329438,0.4430148352468851
South Carolina,5,69737,2935,10727153,623896,0.6500979337201586,0.4704309692641081
South Carolina,6,84688,3279,11646234,661268,0.7271706888252459,0.4958655189726404
South Carolina,7,109738,3589,12570310,693159,0.8729935856792712,0.5177744211645524
South Carolina,8,144972,3889,13688447,718836,1.0590828893884017,0.5410135274248925
South Carolina,9,195659,4273,15271347,754416,1.281216385168905,0.5663983796738139
South Carolina,10,263198,4883,17321941,779487,1.5194486576302275,0.6264376442455102
South Carolina,11,333014,5711,19735326,808303,1.687400552694189,0.7065419774515249
South Carolina,12,412523,6841,22513159,840740,1.8323639077039342,0.8136879415752789
South Carolina,13,1476638,33240,75392468,2322210,1.9586014878833786,1.4313950934669992
South Carolina,14,1642653,38156,82613109,2473036,1.9883684561490114,1.54288089619399
South Carolina,15,1825657,42133,89958441,2613757,2.0294449077880303,1.6119708144253655
South Carolina,16,1989270,45217,98283032,2744562,2.024021806734656,1.647512426390805
South Carolina,17,2154385,48117,108710383,2877454,1.9817656239882808,1.6722074444978097
South Carolina,18,2339382,51520,123742353,3032206,1.8905265200508996,1.6990930035756147
South Carolina,19,2578257,54241,149140694,3242863,1.7287414526849392,1.6726269349028928
South Carolina,20,2868266,57532,180323778,3537929,1.5906199569532087,1.626149083263118
South Carolina,21,3349101,62150,218484424,3967089,1.532878609232116,1.5666399216150686
South Carolina,22,4711738,76668,297414902,4959558,1.5842306381810014,1.5458635628416886
South Carolina,23,5513841,87118,331246599,5536919,1.664572864037164,1.5734021032274448
South Carolina,24,6121749,100495,353902473,6107034,1.729784182660967,1.6455614951546036
South Carolina,25,6587033,108678,367750323,6540703,1.791169874784855,1.661564513783916
South Carolina,26,6858106,114034,379269903,6856950,1.8082389205557394,1.6630426064066384
South Carolina,27,7062716,117456,389709216,7073156,1.8123040744307162,1.6605882861907753
South Carolina,28,7417969,121718,413555826,7388536,1.7937043885339918,1.6473899565489023
South Carolina,29,7555851,123972,422815728,7515404,1.7870316782539368,1.6495719990568702
South Carolina,30,7655522,125506,429112805,7628850,1.7840348530265833,1.645149662137806
South Carolina,31,7712468,126559,432772697,7733730,1.7821059538790638,1.6364548542553208
South Carolina,32,7736971,127187,434955807,7800559,1.7787947362661605,1.6304857126264924
South Carolina,33,7757298,127673,437380590,7853097,1.7735807617800323,1.6257662422863233
South Carolina,34,7956146,128570,451183101,7948347,1.7633962757838308,1.6175690366814635
South Carolina,35,8388235,129943,470282286,8038989,1.783659569946039,1.6164097251532499
South Carolina,36,9073075,134287,496698578,8212460,1.8266762583725376,1.6351616933294042
South Carolina,37,9997236,142486,525106961,8480704,1.903847547737993,1.6801199523058463
South Carolina,38,10792318,153729,551080385,8831887,1.9583926943797865,1.7406133026837867
South Carolina,39,11272156,165446,570984508,9178044,1.9741614425727991,1.8026280981002052
South Dakota,1,30870,200,13644993,786250,0.22623683280746276,0.02543720190779014
South Dakota,2,20236,203,7940175,474933,0.2548558438573457,0.04274287109971301
South Dakota,3,23737,265,8896630,534045,0.26680889280547804,0.049621286595698866
South Dakota,4,26803,297,9837494,582599,0.2724575994658802,0.05097846031318282
South Dakota,5,29712,361,10727153,623896,0.27697936255780076,0.057862207803864744
South Dakota,6,32323,392,11646234,661268,0.27754036197452325,0.05928004984363375
South Dakota,7,35032,449,12570310,693159,0.2786884333003721,0.06477590278709502
South Dakota,8,37468,485,13688447,718836,0.273719874869662,0.06747018791490687
South Dakota,9,39801,539,15271347,754416,0.26062533972936375,0.07144599266187356
South Dakota,10,42230,583,17321941,779487,0.2437948495494818,0.07479278037991653
South Dakota,11,44786,644,19735326,808303,0.22693316543136913,0.07967309288719701
South Dakota,12,47213,701,22513159,840740,0.20971290612747862,0.08337892808716131
South Dakota,13,153871,2104,75392468,2322210,0.20409333197581486,0.09060334767312173
South Dakota,14,201035,2278,82613109,2473036,0.24334515724374928,0.09211349935868302
South Dakota,15,252947,2671,89958441,2613757,0.28118206272605367,0.10219006587069877
South Dakota,16,331923,3355,98283032,2744562,0.3377215713084635,0.1222417274596092
South Dakota,17,452553,4345,108710383,2877454,0.4162923425630834,0.1510015451159254
South Dakota,18,638851,5996,123742353,3032206,0.5162751349976349,0.1977438208353918
South Dakota,19,873474,8790,149140694,3242863,0.5856711381536148,0.27105677914854864
South Dakota,20,1058683,12768,180323778,3537929,0.5871011642180656,0.3608890964177065
