state,week,Negative,Positive,Anxiety,Depression,Covid Cases,Covid Deaths
Minnesota,33,1.3858093126385809,2.2334597555836493,19.106761565836297,15.323843416370106,5.01695958881113,4.75665824502037
Mississippi,33,0.6273525721455459,1.1843079200592157,23.24433656957929,20.06472491909385,4.39212258039445,4.4490550344254
Missouri,33,2.380952380952381,1.9574468085106385,20.149122807017545,16.764035087719297,4.77287754311473,4.88975547804528
Montana,33,1.6666666666666667,0.8082292432035268,22.908571428571427,18.542857142857144,4.88715071195949,5.23650980059808
Nevada,33,0.5534269902085994,0.9507557289127256,21.136804942630185,18.15975286849073,4.73967922431205,4.79405710426691
New Hampshire,33,3.0065359477124183,2.720041057223505,18.9,15.267,5.50395801520691,4.72085385878489
New Jersey,33,1.7777777777777777,2.454840203798055,20.22651515151515,16.449242424242424,5.02624493842488,3.93428346976597
New Mexico,33,1.3183915622940012,2.3366336633663365,18.040745856353592,15.305939226519335,4.87835470758859,5.05931220968128
New York,33,1.0498687664041997,1.1956521739130437,25.70413223140496,21.29586776859504,4.98131247627258,3.83291769520996
North Carolina,33,0.196078431372549,0.4301075268817204,19.83705541770058,16.233250620347395,4.88842272456911,4.94300332538369
Ohio,33,1.1574074074074074,1.3203883495145632,20.94180407371484,17.69156159068865,5.01767128438769,5.1595824980191
Oklahoma,33,1.37524557956778,0.9681093394077448,21.909469302809573,18.451612903225808,4.76455749801573,5.754967927394
Oregon,33,1.941747572815534,2.526926263463132,21.163848396501457,17.76793002915452,4.97017394562468,5.04296303683021
Pennsylvania,33,0.6696428571428571,1.7012227538543327,19.69136522753792,16.394399066511085,5.28482923114406,4.75243949136141
Rhode Island,33,0.8522727272727273,1.5299877600979193,23.77129337539432,18.99526813880126,5.05136699795871,4.4038868121759
South Carolina,33,1.2857142857142858,1.3623978201634876,19.746081504702193,16.497387669801462,4.78132264856534,4.74799970992772
South Dakota,33,1.873536299765808,0.783289817232376,20.438566552901023,16.4419795221843,4.7257781465397,5.05253018311504
Tennessee,33,1.4406779661016949,1.4447236180904524,21.093953488372097,17.801860465116278,4.69471883862763,5.00950010435428
Texas,33,3.2967032967032965,4.587869362363918,20.43851178642431,17.24964498721954,4.71600347883281,4.87470595712651
Utah,33,2.0179372197309418,1.0115606936416186,19.220885729907053,16.151448879168946,4.86366427448644,5.04927200975254
Vermont,33,0.5956813104988831,1.1412268188302426,22.979099678456592,18.54983922829582,5.68479582410868,4.87509130752374
Virginia,33,1.2698412698412698,0.8494208494208494,18.200115008625648,15.005175388154113,4.94151495921388,5.09386592388351
Washington,33,1.5218769816106532,1.6359447004608294,19.870772946859905,16.69645732689211,4.93222396167368,4.50384032424632
West Virginia,33,0.3468208092485549,0.363447559709242,23.066964285714285,19.821428571428573,5.19548736032243,5.34494155995874
Wisconsin,33,4.400977995110025,3.2912361270570227,19.344795539033456,15.931226765799256,4.73304285990298,5.02753393437694
Wyoming,33,0.5226480836236934,1.2415349887133182,22.41016333938294,18.63339382940109,4.8355214426899,5.14595917932888
Alaska,33,0.5128205128205128,0.4658385093167702,22.715073529411764,19.10386029411765,4.82481715683971,5.08042091489014
Arizona,33,0.3105590062111801,1.0700389105058363,21.223572296476306,18.11603888213852,4.80244757695268,4.89106143492959
Maine,33,0.2444987775061125,0.6715506715506715,20.773722627737225,16.602919708029198,5.75775851429511,5.23338976771234
Nebraska,33,2.5,2.6894865525672373,20.6410537870472,17.30735455543359,4.72717551051652,4.99444959500342
North Dakota,33,0,0.3215434083601286,19.994059405940593,16.46930693069307,4.67409148940551,4.77486521132602
Hawaii,33,0,0,23.43036211699164,19.53760445682451,4.25080295771827,4.73023750443105
Alabama,34,1.3392857142857142,2.6262626262626263,21.534422403733956,18.635939323220537,4.75618279859831,5.11599128426976
Alaska,34,0.717948717948718,0.6211180124223602,20.97962648556876,17.644312393887947,5.05287111566364,5.22436072187994
Arizona,34,1.3457556935817805,1.264591439688716,21.52433764633395,18.372766481823785,4.94404255205147,4.96190350286327
Arkansas,34,2.5793650793650795,2.171361502347418,22.11387900355872,18.86002372479241,4.97127849345817,4.92682031548921
California,34,2.1196581196581197,1.6808769792935443,20.81867212200111,17.514785196206063,5.0499611283065,5.21729986638934
Colorado,34,0.4574565416285453,1.3799901429275503,21.160175879396984,17.39886934673367,5.33526703925659,4.7118258241868
Connecticut,34,2.6545002073828288,2.048909451421018,19.269653423499577,15.491969568892646,5.14588982202388,3.98052202077755
Delaware,34,0.9033423667570007,1.0720518573921716,22.93989071038251,18.954918032786885,5.14901114038761,4.66812560645787
Florida,34,2.934131736526946,2.5688073394495414,20.759458383114296,17.22341696535245,4.91344746669088,4.70860289745677
Georgia,34,1.5053763440860215,2.6123301985370952,20.282101167315176,16.90337224383917,4.79339122146064,4.88435205995062
Hawaii,34,0.851581508515815,1.0131712259371837,24.88609467455621,20.75147928994083,4.61600441909951,4.86848635235732
Idaho,34,0.9416195856873822,0.3009027081243731,21.010999083409715,17.3923006416132,4.83807645403964,4.9275201890131
Illinois,34,1.9651464590285503,2.576912963449908,25.51166407465008,20.94090202177294,4.87546864340006,4.554816586488
Indiana,34,2.085222121486854,1.845819761129207,21.87377777777778,18.573333333333338,4.95752944446478,4.80038448284285
Iowa,34,2.2119815668202767,2.168164992067689,21.01082251082251,17.296536796536795,4.71429323950864,4.97636030514668
Kansas,34,2.881844380403458,1.2406947890818858,17.892770105605198,14.858651502843218,4.89666312351721,5.23769208395392
Kentucky,34,3.345724907063197,2.821011673151751,22.28965517241379,18.80229885057471,4.97111945448442,5.54366496596178
Louisiana,34,1.40597539543058,1.0944700460829493,21.375831485587582,18.299334811529935,4.68565226344628,4.17153712565403
Maine,34,1.344743276283619,0.7326007326007326,23.956228956228955,19.146464646464647,5.84830973304623,5.46600571222219
Maryland,34,2.830188679245283,3.062360801781737,19.6994851994852,16.10810810810811,4.86294892464752,4.59763776008212
Massachusetts,34,1.544528425895498,1.1692650334075725,20.270092946965555,16.183706943685074,5.05915568881412,4.12382721485008
Michigan,34,0.6736526946107785,1.5532206486980356,20.060880048221826,16.699216395418926,5.45947215317054,4.6978597214883004
Minnesota,34,1.3303769401330376,1.6434892541087232,20.745749613601237,16.638330757341578,5.06333642531368,4.79962388394133
Mississippi,34,3.0112923462986196,1.4063656550703183,25.976491862567812,22.423146473779383,4.6227092917922,4.51748994963264
Missouri,34,2.380952380952381,2.297872340425532,18.73572593800979,15.588091353996738,5.15263799171605,5.05507668655737
Montana,34,2.2222222222222223,2.0573108008817047,24.26021180030257,19.636913767019667,4.97634367718649,5.35031538675739
Nebraska,34,1,1.4669926650366747,20.175965665236053,16.917381974248926,4.78800807184489,5.05010612862301
Nevada,34,2.0859940400170287,2.3403217942467087,18.033132530120483,15.493222891566266,5.01837728905037,4.9452269170579
New Hampshire,34,2.1350762527233114,2.6687195278419296,20.76923076923077,16.776923076923076,5.5556286207996,4.77143916521002
New Jersey,34,0.9523809523809524,1.5748031496062993,21.122626582278478,17.178006329113924,5.08695077651849,3.95475551695352
New Mexico,34,1.2524719841793013,1.7029702970297027,19.67093373493976,16.689006024096386,4.97238528623707,5.13408567030283
New York,34,1.9247594050743655,1.9565217391304348,26.696995708154507,22.118454935622317,5.04373911578128,3.84388067831431
