state,EST_ST,week,count,anxiety_percentage,depression_percentage
maine,23,24,662,21.49546827794562,17.1797583081571
maine,23,25,682,20.865102639296182,16.675953079178885
maine,23,26,705,20.18439716312057,16.131914893617022
maine,23,27,677,21.0192023633678,16.79911373707533
maine,23,28,641,22.1996879875195,17.742589703588145
maine,23,29,810,17.567901234567902,14.04074074074074
maine,23,30,543,26.206261510128915,20.944751381215468
maine,23,31,678,20.9882005899705,16.77433628318584
maine,23,32,629,22.623211446740857,18.08108108108108
maine,23,33,685,20.773722627737225,16.602919708029198
maine,23,34,594,23.956228956228955,19.146464646464647
maine,23,35,566,25.141342756183747,20.093639575971732
maine,23,36,606,23.48184818481848,18.76732673267327
maine,23,37,588,24.200680272108844,19.34183673469388
maine,23,38,540,26.35185185185185,21.06111111111111
maine,23,39,508,28.011811023622048,22.387795275590552
maryland,24,1,1647,18.587128111718275,15.198542805100182
maryland,24,2,841,36.40071343638525,29.76456599286564
maryland,24,3,2690,11.380297397769516,9.305576208178438
maryland,24,4,2029,15.087727944800394,12.3371118777723
maryland,24,5,2049,14.940458760370912,12.216691068814056
maryland,24,6,1608,19.037935323383085,15.567164179104475
maryland,24,7,1497,20.44956579826319,16.721442885771545
maryland,24,8,2268,13.49779541446208,11.037037037037036
maryland,24,9,1890,16.197354497354496,13.244444444444444
maryland,24,10,1760,17.39375,14.222727272727273
maryland,24,11,1839,16.646547036432843,13.611745513866232
maryland,24,12,1794,17.064102564102566,13.953177257525084
maryland,24,13,2540,12.05236220472441,9.85511811023622
maryland,24,14,2619,11.68881252386407,9.557846506300114
maryland,24,15,2282,13.41498685363716,10.969325153374234
maryland,24,16,2242,13.654326494201603,11.165031222123105
maryland,24,17,2091,14.640363462458154,11.971305595408896
maryland,24,18,1389,22.03959683225342,18.021598272138228
maryland,24,19,1751,17.48315248429469,14.29583095374072
maryland,24,20,1772,17.275959367945823,14.126410835214449
maryland,24,21,1664,18.397235576923077,15.04326923076923
maryland,24,22,1553,19.71216999356085,16.1184803605924
maryland,24,23,2076,14.746146435452792,12.057803468208093
maryland,24,24,1813,16.88527302813017,13.806949806949808
maryland,24,25,1866,16.405680600214364,13.414790996784566
maryland,24,26,1841,16.628462791960892,13.596958174904945
maryland,24,27,1903,16.08670520231214,13.153967419863374
maryland,24,28,1781,17.188658057271194,14.0550252667041
maryland,24,29,1903,16.08670520231214,13.153967419863374
maryland,24,30,1495,20.476923076923075,16.7438127090301
maryland,24,31,1849,16.556517036235803,13.538128718226067
maryland,24,32,1661,18.43046357615894,15.070439494280556
maryland,24,33,1682,18.200356718192623,14.88228299643282
maryland,24,34,1554,19.6994851994852,16.10810810810811
maryland,24,35,1579,19.387587080430652,15.85307156428119
maryland,24,36,1605,19.073520249221183,15.596261682242991
maryland,24,37,1425,21.48280701754386,17.566315789473684
maryland,24,38,1461,20.953456536618756,17.13347022587269
maryland,24,39,1386,22.08730158730159,18.060606060606062
massachusetts,25,1,1879,19.730707823310272,15.753060138371474
massachusetts,25,2,1122,33.0427807486631,26.381461675579324
massachusetts,25,3,3881,9.552692604998713,7.626900283432105
massachusetts,25,4,2655,13.963841807909604,11.148775894538607
massachusetts,25,5,2368,15.65625,12.5
massachusetts,25,6,2002,18.51848151848152,14.785214785214784
