"","state","week","total_cases","total_deaths","total_cases_us","total_deaths_us","total_cases_state_all_weeks","total_deaths_state_all_weeks","percentage_cases_spatial","percentage_deaths_spatial","percentage_cases_bar","percentage_deaths_bar"
"1097","Nebraska",3,61216,765,8896630,534045,61792565,655808,0.688080767661463,0.143246355644187,0.0990669346708621,0.116649995120523
"1098","Nebraska",4,72177,915,9837494,582599,61792565,655808,0.733692950664061,0.157054852480008,0.116805314684704,0.139522543183371
"1099","Nebraska",5,83876,1072,10727153,623896,61792565,655808,0.781903642094039,0.17182350904638,0.135738013141225,0.163462476822485
"1100","Nebraska",6,93313,1173,11646234,661268,61792565,655808,0.801228963800659,0.177386475680057,0.151010077021402,0.178863325851469
"1101","Nebraska",7,100088,1342,12570310,693159,61792565,655808,0.79622539141835,0.193606373140939,0.161974179256032,0.20463306333561
"1102","Nebraska",8,106571,1511,13688447,718836,61792565,655808,0.778547047740332,0.210200935957576,0.172465732730143,0.230402800819752
"1103","Nebraska",9,112803,1630,15271347,754416,61792565,655808,0.738657827629744,0.216061165192679,0.182551088468329,0.248548355616278
"1104","Nebraska",10,119156,1712,17321941,779487,61792565,655808,0.687890577620603,0.219631629520441,0.19283226064495,0.261052015223968
"1105","Nebraska",11,126902,1777,19735326,808303,61792565,655808,0.643019527521359,0.219843301336256,0.20536774934007,0.270963452717869
"1106","Nebraska",12,135758,1857,22513159,840740,61792565,655808,0.603016218203762,0.22087684658753,0.21969957065223,0.283162145018054
"1107","Nebraska",13,423459,5052,75392468,2322210,61792565,655808,0.561672818563255,0.217551384241735,0.685291183494325,0.770347418756709
"1108","Nebraska",14,477342,5563,82613109,2473036,61792565,655808,0.577804183595124,0.224946179513764,0.772490994669019,0.848266565824144
"1109","Nebraska",15,545231,6114,89958441,2613757,61792565,655808,0.606092095348784,0.233916159765426,0.882356963171864,0.932285059041671
"1110","Nebraska",16,637683,6650,98283032,2744562,61792565,655808,0.648823084741627,0.242297313742594,1.03197366867681,1.01401629745291
"1111","Nebraska",17,776322,7495,108710383,2877454,61792565,655808,0.714119459959956,0.260473321206872,1.25633561254497,1.14286498487362
"1112","Nebraska",18,980797,8786,123742353,3032206,61792565,655808,0.792612210954159,0.289756039002627,1.5872411187333,1.33972138186786
"1113","Nebraska",19,1349808,11009,149140694,3242863,61792565,655808,0.905056804952242,0.339483968332921,2.18441814156768,1.67869254415927
"1114","Nebraska",20,1707497,14423,180323778,3537929,61792565,655808,0.946906181169297,0.407667875754431,2.76327257170826,2.19927173806968
"1115","Nebraska",21,1974479,18760,218484424,3967089,61792565,655808,0.903716138593019,0.472890827506013,3.1953342606833,2.86059334439348
"1116","Nebraska",22,2325044,24142,297414902,4959558,61792565,655808,0.781751009907365,0.486777249101634,3.76265979572138,3.68126036888846
"1117","Nebraska",23,2460425,25882,331246599,5536919,61792565,655808,0.742777437542838,0.467444078557046,3.98174926061088,3.94658192641749
"1118","Nebraska",24,2541726,27259,353902473,6107034,61792565,655808,0.718199558893729,0.446354154897451,4.11332010574411,4.15655191763443
"1119","Nebraska",25,2599373,28305,367750323,6540703,61792565,655808,0.706830922348367,0.432751647643992,4.20661126464001,4.31604981945935
"1120","Nebraska",26,2649972,28948,379269903,6856950,61792565,655808,0.698703477138285,0.422170206870402,4.28849652057654,4.41409680882209
"1121","Nebraska",27,2696776,29371,389709216,7073156,61792565,655808,0.691996978588261,0.415246037271057,4.36424026094401,4.47859739435932
"1122","Nebraska",28,2822582,30468,413555826,7388536,61792565,655808,0.682515351627521,0.412368566655153,4.56783433411447,4.64587196252562
"1123","Nebraska",29,2866678,30828,422815728,7515404,61792565,655808,0.6779970115019,0.410197509009496,4.63919567022343,4.70076607787645
"1124","Nebraska",30,2893626,30878,429112805,7628850,61792565,655808,0.674327581531854,0.404753009955629,4.68280609487565,4.70839026056407
"1125","Nebraska",31,2908332,32284,432772697,7733730,61792565,655808,0.672022985775371,0.417444105237705,4.70660507457491,4.92278227773983
"1126","Nebraska",32,2915074,32726,434955807,7800559,61792565,655808,0.670200041725159,0.419534035958192,4.71751577232633,4.99018005269835
"1127","Nebraska",33,2921043,32754,437380590,7853097,61792565,655808,0.667849252295352,0.417083858762982,4.72717551051652,4.99444959500342
"1128","Nebraska",34,2958633,33119,451183101,7948347,61792565,655808,0.655749959039357,0.416677832510332,4.78800807184489,5.05010612862301
"1129","Nebraska",35,3015169,33249,470282286,8038989,61792565,655808,0.64114024486136,0.413596784371766,4.87950127980607,5.06992900361081
"1130","Nebraska",36,3108667,33485,496698578,8212460,61792565,655808,0.625865894868739,0.407734101596842,5.03081074559698,5.10591514589636
"1131","Nebraska",37,3243125,33830,525106961,8480704,61792565,655808,0.617612265856061,0.398905562557071,5.2484065032743,5.15852200644091
"1132","Nebraska",38,3379629,34277,551080385,8831887,61792565,655808,0.613273324907037,0.388105056144853,5.4693133389106,5.2266821996682
"1133","Nebraska",39,3498908,34989,570984508,9178044,61792565,655808,0.612785102043434,0.381225019187095,5.66234465262933,5.33525056113985
